customer_key,customer_id,customer_name,customer_address,customer_email,first_purchase_date
0,93045,Raha Etemadi,"ASHEVILLE, NC, USA",rahaetemadi@gmail.com,2018-01-01
1,84298,Leena Peltonen-Palotie,"CLARINDA, IA, USA",leenapeltonen-palotie@gmail.com,2018-01-01
2,83120,Luma Grothe,"PEKIN, IL, USA",lumagrothe@gmail.com,2018-01-01
3,63293,Takuya Kakine,"BATON ROUGE, LA, USA",takuyakakine@gmail.com,2018-01-01
4,52631,Ōuyáng Zhènhuá,"CARNEGIE, OK, USA",ōuyángzhènhuá@gmail.com,2018-01-01
5,62269,Jordan Gideon Archer,"MARTINS FERRY, OH, USA",jordangideonarcher@gmail.com,2018-01-01
6,15363,Jozef Kostelník,"ALBANY, NY, USA",jozefkostelník@gmail.com,2018-01-01
7,48342,Yannis Becker,"MOLINE, IL, USA",yannisbecker@gmail.com,2018-01-01
8,92644,Tom Clyde,"CADIZ, KY, USA",tomclyde@gmail.com,2018-01-01
9,88072,Nellie Gorbea,"DUBLIN, GA, USA",nelliegorbea@gmail.com,2018-01-01
10,80361,Richard Burton,"NORWAY, ME, USA",richardburton@gmail.com,2018-01-01
11,41657,Rick Savage,"OKEMAH, OK, USA",ricksavage@gmail.com,2018-01-01
12,70146,Kurt Mercer Eversley,"ARKANSAS CITY, KS, USA",kurtmercereversley@gmail.com,2018-01-01
13,92789,Gizem Çam,"CRANBERRY, PA, USA",gizemçam@gmail.com,2018-01-01
14,81572,Antonio Filevski,"OBERLIN, OH, USA",antoniofilevski@gmail.com,2018-01-01
15,67634,Al Dokali Al Seyed,"FRAMINGHAM, MA, USA",aldokalialseyed@gmail.com,2018-01-01
16,31231,Simon Thomas John Cowley,"GRANT, NE, USA",simonthomasjohncowley@gmail.com,2018-01-01
17,99218,Alfred Charles Ransom,"BARNESVILLE, OH, USA",alfredcharlesransom@gmail.com,2018-01-01
18,82833,George Camsell,"GUAYAMA PUEBLO, PR, PRI",georgecamsell@gmail.com,2018-01-01
19,66097,R. M. Dharmadasa Banda,"MOUNT VERNON, NY, USA",r.m.dharmadasabanda@gmail.com,2018-01-01
20,93952,Frank Serratore,"PROCTORVILLE, OH, USA",frankserratore@gmail.com,2018-01-01
21,20401,Ryan Neates,"GARFIELD HEIGHTS, OH, USA",ryanneates@gmail.com,2018-01-01
22,15552,John Sinnott,"VARNVILLE, SC, USA",johnsinnott@gmail.com,2018-01-01
23,98656,Giorgio Amendola,"REEDSBURG, WI, USA",giorgioamendola@gmail.com,2018-01-01
24,26673,Curtis Dennis,"REED CITY, MI, USA",curtisdennis@gmail.com,2018-01-01
25,20669,Alex Davis AKA Dave,"SCOBEY, MT, USA",alexdavisakadave@gmail.com,2018-01-01
26,30940,Gerhard Körner,"HOULTON, ME, USA",gerhardkörner@gmail.com,2018-01-01
27,11385,Ivan Regen,"HENDERSON, NV, USA",ivanregen@gmail.com,2018-01-01
28,54819,"Vicente de Valverde y Alvarez de Toledo, O.P.","FRANKLIN, TN, USA","vicentedevalverdeyalvarezdetoledo,o.p.@gmail.com",2018-01-01
29,17819,Sir Gilbert Thomas Carter,"FOUNTAIN VALLEY, CA, USA",sirgilbertthomascarter@gmail.com,2018-01-01
30,12556,Igor Sadovskiy,"WRANGELL, AK, USA",igorsadovskiy@gmail.com,2018-01-01
31,41519,Salvador Gjonaj,"GARAPAN, MP, MNP",salvadorgjonaj@gmail.com,2018-01-01
32,98309,Mohammed Inua Bawa,"DECORAH, IA, USA",mohammedinuabawa@gmail.com,2018-01-01
33,68142,Elias Hazrati,"BYRON, GA, USA",eliashazrati@gmail.com,2018-01-01
34,62160,Ute Kircheis-Wessel,"JASPER, TX, USA",utekircheis-wessel@gmail.com,2018-01-01
35,94232,Semen Dvoirys,"HOLLY SPRINGS, MS, USA",semendvoirys@gmail.com,2018-01-01
36,71797,Frank Kight,"MILFORD, NH, USA",frankkight@gmail.com,2018-01-01
37,64013,Mary Laffoy,"NORCROSS, GA, USA",marylaffoy@gmail.com,2018-01-01
38,12946,Joe Kennedy,"OPELIKA, AL, USA",joekennedy@gmail.com,2018-01-01
39,26825,Richard Everard,"TUPELO, MS, USA",richardeverard@gmail.com,2018-01-01
40,99331,Ian William Edward Stokes,"SANDWICH, IL, USA",ianwilliamedwardstokes@gmail.com,2018-01-01
41,53146,Johannes Lamprecht,"MEDINA, OH, USA",johanneslamprecht@gmail.com,2018-01-01
42,97842,Erich Bauer,"BARDSTOWN, KY, USA",erichbauer@gmail.com,2018-01-01
43,79379,Archduchess Barbara,"CLOVIS, NM, USA",archduchessbarbara@gmail.com,2018-01-01
44,58601,John Lucas,"FAYETTE, MS, USA",johnlucas@gmail.com,2018-01-01
45,17563,Michael Görlitz,"SOUTHFIELD, MI, USA",michaelgörlitz@gmail.com,2018-01-01
46,40314,David John (Dave) Shannon,"LUFKIN, TX, USA",davidjohn(dave)shannon@gmail.com,2018-01-01
47,96632,Tru Life,"BLAIR, NE, USA",trulife@gmail.com,2018-01-01
48,42653,David Jamieson,"PRINCE FREDERICK, MD, USA",davidjamieson@gmail.com,2018-01-01
49,62165,Andre Winner,"BURLINGTON, MA, USA",andrewinner@gmail.com,2018-01-01
50,98065,Matthew Tunstall,"ORANGE PARK, FL, USA",matthewtunstall@gmail.com,2018-01-01
51,90539,Jarret Davis,"LITHONIA, GA, USA",jarretdavis@gmail.com,2018-01-01
52,55533,George Bradley,"FRANKLIN, WI, USA",georgebradley@gmail.com,2018-01-01
53,60180,Kamal Ranadive,"WOLF POINT, MT, USA",kamalranadive@gmail.com,2018-01-01
54,38951,Dr. Joan W. Miller,"CORDELE, GA, USA",dr.joanw.miller@gmail.com,2018-01-01
55,62725,Nikolay Lanceray,"KALAMAZOO, MI, USA",nikolaylanceray@gmail.com,2018-01-01
56,42270,Peter Sullivan,"MECHANICSBURG, PA, USA",petersullivan@gmail.com,2018-01-01
57,87216,George William Francis Darvill,"KOROR, PW, PLW",georgewilliamfrancisdarvill@gmail.com,2018-01-01
58,29317,Donald M. Davis,"CORNWALL, NY, USA",donaldm.davis@gmail.com,2018-01-01
59,30010,Shigeto Kawahara,"STURGIS, MI, USA",shigetokawahara@gmail.com,2018-01-01
60,67999,John Greene,"NATCHEZ, MS, USA",johngreene@gmail.com,2018-01-01
61,89412,Dick Welteroth,"NEVADA, MO, USA",dickwelteroth@gmail.com,2018-01-01
62,75041,Jill York,"GLEN DALE, WV, USA",jillyork@gmail.com,2018-01-01
63,16003,Louise Minett,"NORTON, KS, USA",louiseminett@gmail.com,2018-01-01
64,85358,Akseli Gallen-Kallela,"ORANGE CITY, IA, USA",akseligallen-kallela@gmail.com,2018-01-01
65,14563,Les Reed,"EAST ORANGE, NJ, USA",lesreed@gmail.com,2018-01-01
66,28668,Gekidan Inu Curry,"PHILADELPHIA, MS, USA",gekidaninucurry@gmail.com,2018-01-01
67,72412,Olha Bielkova,"ROME, NY, USA",olhabielkova@gmail.com,2018-01-01
68,98666,Alma Galarza,"ANACORTES, WA, USA",almagalarza@gmail.com,2018-01-01
69,63793,Delvin Pérez,"BREWTON, AL, USA",delvinpérez@gmail.com,2018-01-01
70,75358,Willis Goldbeck,"MARLTON, NJ, USA",willisgoldbeck@gmail.com,2018-01-01
71,82737,Frank Hanrahan,"HERRIN, IL, USA",frankhanrahan@gmail.com,2018-01-01
72,68279,Alex DeJohn,"PECOS, TX, USA",alexdejohn@gmail.com,2018-01-02
73,94758,Gerald S. McGowan,"LUTZ, FL, USA",geralds.mcgowan@gmail.com,2018-01-02
74,90292,Lloyd MacPhail,"DERRY, NH, USA",lloydmacphail@gmail.com,2018-01-02
75,70709,Pak Choo,"IOWA FALLS, IA, USA",pakchoo@gmail.com,2018-01-02
76,98167,Bill Kotsores,"RAWLINS, WY, USA",billkotsores@gmail.com,2018-01-02
77,75679,Klement Zguri,"NEWFANE, NY, USA",klementzguri@gmail.com,2018-01-02
78,68515,Jacopo Galimberti,"MORRISTOWN, NJ, USA",jacopogalimberti@gmail.com,2018-01-02
79,86245,Tim Malchak,"PECKVILLE, PA, USA",timmalchak@gmail.com,2018-01-02
80,42672,Bríd Gordon,"NEWTON, IA, USA",brídgordon@gmail.com,2018-01-02
81,66933,Shigenori Hagimura,"HEMPHILL, TX, USA",shigenorihagimura@gmail.com,2018-01-02
82,86246,David Brett,"FOND DU LAC, WI, USA",davidbrett@gmail.com,2018-01-02
83,93124,Kazuyuki Mugita,"PANAMA CITY, FL, USA",kazuyukimugita@gmail.com,2018-01-02
84,97198,Hafize Şahin,"DOTHAN, AL, USA",hafizeşahin@gmail.com,2018-01-02
85,67467,Michael Francis Stephens,"COMANCHE, TX, USA",michaelfrancisstephens@gmail.com,2018-01-02
86,90617,Ray Ferrer,"SELMA, CA, USA",rayferrer@gmail.com,2018-01-02
